event id	time of event (UTC)	dead time	decay time (ns)	1st chA height	1st chA position	1st chA integral	1st chB height	1st chB position	1st chB integral	1st chC height	1st chC position	1st chC integral	1st chD height	1st chD position	1st chD integral	2nd chA height	2nd chA position	2nd chA integral	2nd chB height	2nd chB position	2nd chB integral	2nd chC height	2nd chC position	2nd chC integral	2nd chD height	2nd chD position	2nd chD integral
29895	1748853835.9007642	0.018442622950819665	1880	220.02646	507	6902.851	233.23697	505	7060.8525	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	229.25381	976	7060.8677	0.0	0	0.0	0.0	0	0.0
30597	1748853842.7604983	0.019743336623889385	2220	348.02533	507	11387.211	651.298	507	21264.828	0.0	0	0.0	0.0	0	0.0	176.02731	1064	5638.7935	209.35345	1060	7090.3955	0.0	0	0.0	0.0	0	0.0
31598	1748853851.968027	0.017733990147783207	224	288.01672	507	9075.129	356.6683	505	11047.906	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	242.51047	562	8366.063	0.0	0	0.0
32607	1748853861.6867507	0.021556886227544925	4603	172.02878	506	5419.058	117.77191	504	3313.439	321.74274	506	9985.39	778.28186	505	24112.395	0.0	0	0.0	0.0	0	0.0	183.10162	1657	6310.579	229.66904	1655	7240.4346
32641	1748853861.9706507	0.021556886227544925	1127	452.0177	509	15467.306	221.30292	507	6903.9097	452.4637	509	14265.793	722.6255	508	23195.176	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	209.78409	790	6147.438
32979	1748853864.9750757	0.023989898989899006	9937	152.03616	505	4442.71	285.00244	504	8545.49	286.09436	506	9027.191	233.63681	504	7376.5703	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	90.52042	2989	2793.9807
35769	1748853891.0278454	0.01967213114754096	5162	128.02966	505	3738.8364	149.62167	502	5042.5967	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	389.0871	1794	12668.2	0.0	0	0.0
36366	1748853896.5752006	0.019447287615148467	7242	148.03766	505	4226.5923	181.48685	504	5619.5547	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	249.16954	2315	7508.5024	0.0	0	0.0	0.0	0	0.0
36821	1748853900.6060278	0.020044543429844075	1086	348.02533	507	11087.152	659.2489	506	21053.182	0.0	0	0.0	0.0	0	0.0	192.0214	779	6483.158	161.5711	777	5100.608	0.0	0	0.0	0.0	0	0.0
36822	1748853900.6150079	0.020044543429844075	1506	344.01144	507	10418.969	468.1502	506	14791.352	0.0	0	0.0	0.0	0	0.0	124.03113	884	3614.558	173.52054	882	5493.138	0.0	0	0.0	0.0	0	0.0
37092	1748853903.1480317	0.021765417170495738	876	332.01587	508	10847.38	364.63458	506	11339.875	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	0.0	0	0.0	278.1742	726	8944.005	0.0	0	0.0
